Tier,Company,Domain,Industry,Employees,Growth %,Source,Primary Buyer Titles,Secondary Titles,Trigger to mention,LinkedIn company search,Crunchbase search
P0 (Proven),Stan,stan.store,Software Development,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Stan%22,https://www.crunchbase.com/textsearch?q=Stan
P0 (Proven),Google,google.com,Software Development,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Google%22,https://www.crunchbase.com/textsearch?q=Google
P0 (Proven),SecurityScorecard,securityscorecard.com,Data Security Software,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22SecurityScorecard%22,https://www.crunchbase.com/textsearch?q=SecurityScorecard
P0 (Proven),Vimeo,vimeo.com,Software Development,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Vimeo%22,https://www.crunchbase.com/textsearch?q=Vimeo
P0 (Proven),Chipotle Mexican Grill,chipotle.com,Restaurants,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Chipotle%20Mexican%20Grill%22,https://www.crunchbase.com/textsearch?q=Chipotle%20Mexican%20Grill
P0 (Proven),FranklinCovey,franklincovey.com,Professional Training,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22FranklinCovey%22,https://www.crunchbase.com/textsearch?q=FranklinCovey
P0 (Proven),Vitalize Healthcare,vitalize.care,Hospitals and Health Care,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Vitalize%20Healthcare%22,https://www.crunchbase.com/textsearch?q=Vitalize%20Healthcare
P0 (Proven),Upfront,getupfront.com,Technology/Internet,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Upfront%22,https://www.crunchbase.com/textsearch?q=Upfront
P0 (Proven),Amplify,amplify.com,Education,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Amplify%22,https://www.crunchbase.com/textsearch?q=Amplify
P0 (Proven),Zapier,zapier.com,Software Development,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%22Zapier%22,https://www.crunchbase.com/textsearch?q=Zapier
P0 (Proven),1Password,1password.com,Computer and Network Security,,,Twill featured customer (LinkedIn),Head of Talent Acquisition; VP People; Head of Recruiting; Recruiting Ops,COO; Chief of Staff; VP Operations (if no TA leader),Hiring surge; hard-to-fill roles; time-to-hire; response rates; new funding/exec hire,https://www.linkedin.com/search/results/people/?keywords=%28%22Head%20of%20Talent%22%20OR%20%22Talent%20Acquisition%22%20OR%20%22Head%20of%20Recruiting%22%20OR%20%22VP%20People%22%29%20AND%20%221Password%22,https://www.crunchbase.com/textsearch?q=1Password
